jockey,jockey_career_wins,jockey_group_1_wins,jockey_prize_money,jockey_win_pct,jockey_recent_win_pct,jockey_group_1_win_pct,jockey_group_1_place_pct,jockey_group_2_win_pct,jockey_group_2_place_pct,jockey_group_3_win_pct,jockey_group_3_place_pct,jockey_listed_win_pct,jockey_listed_place_pct,jockey_other_win_pct,jockey_other_place_pct
daniel-ganderton,420,0,10399813,10,12,0,7,6,12,8,17,10,35,10,30
daniel-moor,982,4,34360463,8,2,5,11,11,19,3,18,6,22,8,27
daniel-stackhouse,1026,0,37145769,11,6,0,23,1,20,10,29,7,28,11,33
danny-beasley,1187,14,45577570,12,12,9,25,7,23,6,23,8,27,12,35
darryl-mclellan,1568,2,26912356,11,10,4,18,8,24,4,18,5,19,11,35
dean-holland,1079,2,32475261,9,12,4,6,5,10,4,17,5,22,9,29
dean-yendall,2713,6,66937717,13,10,4,11,8,25,5,24,8,25,13,37
declan-bates,463,1,16888952,10,18,4,18,0,21,8,25,10,21,10,32
dom-tourneur,1698,2,32252842,12,6,3,12,7,14,8,27,10,28,12,36
dwayne-dunn,2181,24,103323019,12,14,4,20,7,24,7,27,10,30,13,36
dylan-gibbons,323,1,16670245,14,2,8,33,0,18,5,14,18,33,14,37
dylan-turner,49,0,961695,12,12,0,33,0,0,12,50,20,40,12,37
ellen-hennessy,132,0,4966197,7,,,,,,,,0,20,7,21
emily-finnegan,305,0,6538119,11,6,0,0,0,25,0,16,7,18,11,31
ethan-brown,408,3,17974952,13,12,15,20,0,21,4,19,8,19,14,36
frankie-dettori,385,105,98599310,33,40,32,58,36,67,33,67,25,62,36,69
fred-kersley,261,0,13868813,9,10,0,30,6,33,0,34,7,25,9,30
gary-lo,93,0,2669380,8,2,,,,,,,14,14,8,30
georgia-dobie,7,0,225178,7,6,,,,,,,,,7,26
georgina-mcdonnell,85,0,2026465,7,2,,,,,,,,,7,25
glen-boss,1905,90,183107631,13,,11,29,9,29,9,30,11,31,14,36
glyn-schofield,880,18,67608263,12,6,6,23,6,24,10,28,10,30,13,38
grant-buckley,2444,0,49396274,8,4,0,8,0,8,1,9,3,11,8,29
hannah-edgley,91,0,2606805,12,4,,,,,,,,,12,34
hannah-le-blanc,46,0,1380575,6,4,,,,,,,,,6,23
hannah-williams,95,0,2359080,10,8,,,,,0,0,0,0,10,29
harry-coffey,807,1,27239260,10,18,4,4,4,14,10,26,8,24,11,31
harry-grace,161,0,5347220,6,6,,,0,0,0,100,16,16,6,21
heavelon-van-der-hoven,32,0,976640,11,10,,,,,,,0,50,11,31
hugh-bowman,2358,102,234158146,16,8,15,36,15,39,13,37,12,37,17,44
jack-hill,828,0,19971493,8,6,0,0,0,0,0,9,2,14,8,29
jacob-opperman,178,0,5303822,11,8,0,0,,,14,14,11,35,11,32
jag-guthmann-chester,342,0,8652940,14,22,,,0,0,0,33,4,26,14,39
jake-noonan,804,1,26036532,9,12,11,11,0,21,3,7,5,21,9,28
jake-pracey-holmes,470,0,9125497,9,12,,,,,,,,,9,28
jake-toeroek,647,0,18530985,11,20,0,7,8,8,5,29,9,27,11,35
james-innes-jnr,294,1,12325317,9,6,6,6,0,0,4,16,1,13,9,28
james-mcdonald,1437,75,198956894,21,30,15,41,21,47,20,46,17,41,22,51
james-orman,1119,0,37338012,14,28,0,11,5,25,5,15,10,23,14,38
jamie-kah,1199,9,68225252,17,10,7,26,10,35,14,36,9,34,18,45
jamie-mott,1438,2,42704231,13,16,3,9,2,17,5,21,5,23,13,38
jamie-powell,8,0,222018,14,16,,,,,,,,,14,39
jamie-spencer,168,17,29999052,26,16,11,39,24,58,22,59,37,75,32,68
jarrod-fry,1030,1,25466716,9,22,16,50,0,0,0,7,8,19,9,30
jason-benbow,761,1,17805722,7,6,3,15,4,17,7,19,3,13,7,23
